Name ; Datum ; KaufVerkauf; Typ; Stärke
null ; 2017-08-31 ; 1 ; 1 ; 100,00
null ; 2017-09-07 ; 2 ; 5 ; 0,33
null ; 2017-09-08 ; 1 ; 3 ; 100,00
null ; 2017-09-22 ; 2 ; 4 ; -6,33
null ; 2017-09-25 ; 2 ; 4 ; -7,27
null ; 2017-10-03 ; 1 ; 5 ; 1,00
null ; 2017-10-05 ; 2 ; 5 ; 0,33
null ; 2017-10-13 ; 1 ; 5 ; 1,00
null ; 2017-10-16 ; 2 ; 2 ; -1,38
null ; 2017-10-17 ; 2 ; 2 ; -1,00
null ; 2017-10-18 ; 2 ; 2 ; -1,45
null ; 2017-10-19 ; 2 ; 5 ; 0,67
null ; 2017-10-19 ; 2 ; 5 ; 0,67
null ; 2017-10-23 ; 2 ; 4 ; -3,41
null ; 2017-10-24 ; 2 ; 4 ; -2,80
null ; 2017-10-24 ; 1 ; 5 ; 0,67
null ; 2017-10-27 ; 1 ; 5 ; 1,00
null ; 2017-11-08 ; 1 ; 1 ; 5,31
null ; 2017-11-09 ; 1 ; 1 ; 5,11
null ; 2017-11-14 ; 2 ; 5 ; 0,33
null ; 2017-11-15 ; 1 ; 3 ; 4,48
null ; 2017-11-16 ; 1 ; 3 ; 5,61
null ; 2017-11-17 ; 1 ; 3 ; 5,08
null ; 2017-11-21 ; 1 ; 5 ; 1,00
null ; 2017-11-29 ; 2 ; 5 ; 0,33
null ; 2017-12-05 ; 2 ; 5 ; 0,67
null ; 2017-12-06 ; 2 ; 4 ; -1,68
null ; 2017-12-11 ; 1 ; 5 ; 1,00
null ; 2017-12-11 ; 1 ; 5 ; 1,00
null ; 2017-12-12 ; 2 ; 5 ; 0,33
null ; 2017-12-13 ; 1 ; 5 ; 1,00
null ; 2017-12-26 ; 2 ; 5 ; 0,67
null ; 2017-12-26 ; 2 ; 5 ; 0,67
null ; 2017-12-29 ; 2 ; 4 ; -1,55
null ; 2018-01-02 ; 1 ; 5 ; 0,67
null ; 2018-01-04 ; 1 ; 5 ; 1,00

